signal_id,symbol,signal_dir,adx_14,rsi_14,macd,atr_14,h1_adx,h1_trend_strength,plus_di,minus_di,er,bbw,bbw_pct,hurst,mm,ema20_dist_atr,body_ratio,pullback_depth,atr_pct,spread_num,spread_atr,donchian_q,dev_z_ema20,dev_z_ema60,dev_z_ema200,macd_slope3,body_wick_ratio,extreme_reversal,di_ratio,di_net,spread_atr_log,close_mom_atr,trend_aligned,session_asia,session_eu,session_us,event_proximity_min,macro_risk_score,sentiment_risk_score,ds_fake_prob,ds_sl_coeff,ds_continuity,r_dist_atr,sl_mult_used,entry_atr_ratio
388639788,XAUUSD,BUY,16.02,52.88,1.2823,8.12,38.39,1.0,0.684344385936423,0.13966117150494262,0.023123732251527855,0.005592977257377649,42.5,0.6764760929855201,-0.06058021605962255,0.00800080471483938,0.00871341048332234,0.06750678430638139,6.666666666666667,20.0,0.09018942459102237,0.9442423723736586,0.6091688477694797,0.9577406032735751,1.099493762144896,-0.7361033272853527,22.85682819383039,0.0,4.899998178191037,0.6610180580634988,0.0863514651708182,-0.03598558041182006,1.0,0,1,0,20019.488176466668,12.0,5.0,0.72,1.15,68,2.0,2.0,-0.5738300491902726
388639790,XAUUSD,BUY,15.63,52.5,1.2374,8.2,38.39,1.0,0.6364169875444257,0.12988013618973177,0.08288610614191938,0.005502721742165283,44.166666666666664,0.6834927294515846,0.006912045846617251,0.015503667458163357,0.009212344541685843,0.05848535453739439,9.166666666666666,20.0,0.09032487187242504,0.9359407762420291,0.27662348726950825,0.6748352363049058,1.0211132907053035,-0.2526552003342329,113.76562499999537,0.0,4.899995536031813,0.661017997651291,0.08647569942307379,-0.0518013140188328,1.0,0,1,0,20013.988354449997,12.0,5.0,0.72,1.15,68,2.0,2.0,-0.6292073169962971
388639792,XAUUSD,BUY,15.24,51.72,1.2825,8.02,38.47,1.0,0.6854395893403019,0.12648950374145745,0.07609130957148727,0.005527286740647985,44.166666666666664,0.6793796163457877,0.053699948038618314,0.021825816980629922,0.02138413685848301,0.053477086359378985,33.33333333333333,20.0,0.09473354536648212,0.9445847062347563,0.5439414253925936,0.9183099091470539,1.0829619226232843,0.23952692775867465,107.55000000000018,0.0,5.418901570202602,0.6884214421432457,0.09051099609221859,0.01511000048595631,1.0,0,1,0,20009.989058699997,12.0,5.0,0.72,1.15,68,2.0,2.0,-0.7243765585129804
388639794,XAUUSD,BUY,13.86,57.57,2.0369,7.98,38.47,1.0,0.8019657351487263,0.12290517614106516,0.07609130957148727,0.00557661114014323,44.166666666666664,0.685755566904449,0.05757706683014068,0.023937204905314025,0.008745627186404528,0.0523405258628137,41.66666666666667,20.0,0.0991297838310828,0.9516881338525399,0.7267904041040799,1.1020081752241793,1.131638973832675,0.2616510269760299,45.76363636362081,0.0,6.525023886743273,0.7342211940036851,0.09451876110704144,0.05972569475822829,1.0,0,1,0,20004.989138066667,12.0,5.0,0.72,1.15,68,2.0,2.0,0.19304511275788594
388639798,XAUUSD,BUY,54.53,57.89,2.3701,162.62,32.86,0.929,0.8914035506788567,0.11528333451990819,0.13673318551364877,0.005052707815858577,55.00000000000001,0.6872871246112695,0.04285928602593426,0.037979198411472,0.028013887226147817,0.032890442880327726,95.0,20.0,0.10783751764042843,0.9599469382515274,0.9811758648993512,1.2874093904150734,1.1778458916628876,0.5517398848570468,67.40163934429961,0.0,7.732217515857909,0.7709640967872657,0.1024099328428473,0.032351255292128525,1.0,0,1,0,19994.688080633336,12.0,5.0,0.72,1.15,68,1.4,1.4,0.00971897675557262
388639800,XAUUSD,BUY,56.29,59.95,2.8258,151.35,32.86,0.929,0.8868091487784902,0.11137264504679062,0.38049830821284103,0.0055561341562908725,45.0,0.6806062245236345,0.06087690631200226,0.06072106386764893,0.05799669265296318,0.006619399326135987,100.0,20.0,0.11219320891753143,0.9699174119560112,1.214817137351416,1.5366207143694,1.2478843786606284,0.6946259772684442,34.69658119657926,0.0,7.962468575091722,0.7768481970722386,0.10633392976233375,0.07214023333397088,1.0,0,1,0,19989.571843316666,12.0,5.0,0.72,1.15,68,1.4,1.4,0.026564255037825463
388639804,XAUUSD,BUY,44.92,58.57,3.7738,23.08,24.81,0.66,1.2446335505608976,0.5911469790664879,0.33909754120505803,0.006327421837527234,35.0,0.6274783360331614,-0.03608603404879997,0.017825376906702665,0.6321808152832065,0.9666345170250756,100.0,20.0,0.2368911939774706,0.32949855097918296,0.9983595388579023,-0.38534075987433025,-0.844422570897564,0.5538652177695602,0.9545108005082374,0.0,2.1054517559653374,0.35597186318082735,0.21260112994383748,0.031388083202010544,1.0,0,0,1,19508.440578233334,12.0,5.0,0.72,1.15,78,2.0,2.0,0.3358102252887869
388639824,XAUUSD,SELL,25.7,25.24,-3.1696,5.46,17.79,0.0,1.068737864614042,2.5912205623500943,0.11590436590436543,0.00866891409290403,25.833333333333336,0.7669848587608403,-0.3130356669637861,0.09848862305741077,0.5232558139534679,0.9407988071900799,100.0,20.0,0.47016432143432835,0.5205745341614852,0.18419191038474506,0.5046252120100335,0.238894863479517,-0.9044793229555619,0.06407974368099904,0.0,0.4124455739881834,-0.4159834905598725,0.38537417783201744,-0.23860839312791307,1.0,1,0,0,19313.987994883333,12.0,5.0,0.62,1.25,48,1.4,1.4,1.3554029301549733
388639825,XAUUSD,SELL,27.98,25.06,-3.554,5.28,17.79,0.0,5.153956275975842,2.4372645324100524,0.06859023032143657,0.006464542289833187,37.5,0.7597452521028741,-0.13919629954873045,0.0018326444847307029,0.9584987369180933,1.085514418227224,100.0,20.0,0.5128818418271798,0.5231948757763963,0.18159130591042366,0.4793725056120344,0.24313815188930984,-0.8466449963598212,1.1033057851239638,0.0,2.1146470121700003,0.3578727920404995,0.4140163364672507,-0.30336960944077496,0.0,1,0,0,19304.485449683332,12.0,5.0,0.62,1.25,48,1.4,1.4,1.4016098482196868
388639826,XAUUSD,SELL,30.01,24.95,-3.8973,5.07,17.79,0.0,4.8968184152845105,2.4206216201493653,0.048162859980127225,0.005370167519645001,50.0,0.7537918613840238,0.04747541410842397,0.06287606746032665,0.8313298271976033,1.0393220074121032,100.0,20.0,0.5247775851613793,0.5068905279503065,-0.009648553453791476,0.3724713508360337,0.17876934557682028,-0.913125072289414,0.043298192771069985,0.0,2.0229582151811627,0.3383965491685473,0.4218485536270258,-0.07215691795968966,1.0,1,0,0,19298.988457816668,12.0,5.0,0.62,1.25,48,1.4,1.4,1.4596646939924836
