signal_id,symbol,signal_dir,adx_14,rsi_14,macd,atr_14,h1_adx,h1_trend_strength,plus_di,minus_di,er,bbw,bbw_pct,hurst,mm,ema20_dist_atr,body_ratio,pullback_depth,atr_pct,spread_num,spread_atr,donchian_q,dev_z_ema20,dev_z_ema60,dev_z_ema200,macd_slope3,body_wick_ratio,extreme_reversal,di_ratio,di_net,spread_atr_log,close_mom_atr,trend_aligned,session_asia,session_eu,session_us,event_proximity_min,macro_risk_score,sentiment_risk_score,ds_fake_prob,ds_sl_coeff,ds_continuity
1517107,XAUUSD,SELL,66.98085765540206,25.033733655032506,-0.6766498725638961,4.054530462171598,46.70315899189962,0.4670315899189962,6.24945535122018,31.604073889478684,0.7006920415225302,0.006311758070458145,16.666666666666664,0.7645835008722672,-0.7768346398704755,1.9902961357980147,0.703883495145406,5.154727580664332,69.16666666666667,25.0,6.165942082134476,0.15116583704481074,-1.1283559739818543,-2.1308331305552817,-2.120856401450383,-0.6176202696124723,1.250000000000836,0.0,0.1977420751303398,-0.6698085588592754,1.9693395365356257,-1.2677176920867048,0.0,0,0,1,23994.98988455,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.149999999999999911182158029987476766109466552734375,78
1517114,XAUUSD,SELL,61.866902452163146,27.792428355334806,-0.48606933484766923,4.1784874669429914,52.70654154782396,0.5270654154782396,8.082367911540617,34.30793568968937,0.5068153655513764,0.006768538554029716,18.333333333333332,0.7668836730224126,-0.7898569932577558,1.6959174899081175,0.10000000000011736,5.509170526923013,67.5,25.0,5.983026202131979,0.12117647058824814,-1.1058561364213557,-1.979238931889601,-2.165599203081356,-0.4998890061305837,2.1811594202891817,0.0,0.2355830367953788,-0.6186690099270437,1.943482376131236,-0.7514680909876372,0.0,0,0,1,23974.50663956667,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,78
1517117,XAUUSD,SELL,18.294595369865252,46.622616843342804,0.6634465561695935,4.4412978669049075,48.492673158334625,0.48492673158334626,19.22296190340622,27.83135963242121,0.026048565121419648,0.0058446992022966205,25.0,0.7631302345253246,0.9802649751216738,0.11872713728174907,0.4604316546762684,3.4629517003592163,55.833333333333336,25.0,5.62898520864628,0.2917647058823658,-0.03978421438484315,-1.1385795375502203,-1.7101235236659922,0.6152853915343782,0.0584415584415362,0.0,0.690694291137641,-0.18294594981067913,1.8914517319468058,1.0357332783907927,1.0,0,0,1,23904.689947783332,15.0,8.0,0.7800000000000000266453525910037569701671600341796875,1.1999999999999999555910790149937383830547332763671875,72
1517119,XAUUSD,SELL,18.29459536986525,43.578273429596486,0.875773786531072,4.374062304983129,46.335667602015384,0.46335667602015385,18.124271454855304,26.240655288731677,0.1364303178484102,0.005211246587611876,27.500000000000004,0.7596309241911556,0.9405570941885243,0.2591167714078511,0.45714285714270125,3.9231265591371227,59.166666666666664,27.0,6.172751579061959,0.31200000000000516,0.08311537291963642,-1.0330312875743626,-1.636282208027016,1.204796616111053,1.1718749999999556,0.0,0.6906942896332311,-0.1829459495749908,1.970289343763579,1.9272702152405226,0.0,0,0,1,23899.48981636667,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,68
1517121,XAUUSD,SELL,22.561413496519865,40.625195150672695,0.8901990753768256,4.329486426055763,44.637506594479994,0.4463750659447999,17.002957033115088,26.910440152539806,0.03960396039604406,0.004291875575185244,36.666666666666664,0.7571134807456095,0.7771560067608917,0.621369918102629,0.4906666666667055,4.388511275991995,63.33333333333333,25.0,5.77435694209473,0.28345679012346847,-0.20039635236294104,-1.1637201870787466,-1.6942686767525243,1.598164745747619,1.187500000000746,0.0,0.6318349423086418,-0.22561412982749254,1.9131444459649471,1.3327215822353544,0.0,0,0,1,23893.990020300003,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,78
1517123,XAUUSD,SELL,35.242553724846225,35.34086095673477,0.6546300288720985,4.513094538480326,43.9664385323633,0.439664385323633,15.146131577319256,31.63190692952206,0.17160243407706394,0.003905597000204669,48.333333333333336,0.7542548382968887,0.05534095822562861,1.2951100914941334,0.5449275362318126,4.083672487438128,53.333333333333336,25.0,5.539436363860912,0.23802469135803278,-0.5776584372870784,-1.291623298091027,-1.7521754901466235,1.3363795559792926,1.0380434782607084,0.0,0.4788244708812955,-0.3524255297144668,1.8778509788592632,0.1595357672792507,0.0,0,0,1,23889.99038906667,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,78
1517125,XAUUSD,SELL,35.24255372484622,38.18877692651809,0.5929527563131787,4.52287350001742,43.34330390325494,0.4334330390325494,14.033856512201316,29.308978387654342,0.06339468302659278,0.003715793293289238,52.5,0.7498351066410323,-0.823689552490418,0.9211814582674923,0.27526881720446345,2.3569087218465863,53.333333333333336,25.0,5.527459479002389,0.1468601451088507,-1.3794289211855948,-1.5841286071642124,-1.8998086421044864,0.6703421665950419,0.835106382978964,0.0,0.47882446968155834,-0.3524255291173482,1.8760178138357453,0.3294365849484941,0.0,0,0,1,23884.990186450003,15.0,8.0,0.81999999999999995115018691649311222136020660400390625,1.1999999999999999555910790149937383830547332763671875,78
1517127,XAUUSD,SELL,35.242553724846225,37.37387887199491,0.5266392725812103,4.321953964301893,42.76467889051146,0.4276467889051146,13.637245316133177,28.48067656172671,0.1798042246264713,0.0035330992355031743,57.49999999999999,0.7452464498840948,-0.9141881875255431,0.9915197491372778,0.2397660818717867,2.5011835131257567,65.83333333333333,20.0,4.627536564524818,0.17913832199547722,-1.0336226297592692,-1.4044196722552467,-1.8034837174403955,0.3043121568133784,2.6328124999978573,0.0,0.4788244692064266,-0.3524255288808717,1.727671791249844,-1.3558682134059064,0.0,0,0,1,23879.873392483332,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.149999999999999911182158029987476766109466552734375,68
1517215,XAUUSD,SELL,33.78721335883307,36.506944326706524,-1.202379659533757,3.4980176331488795,29.898094488587553,0.2989809448858755,17.139748037532232,34.63196829399525,0.35646140503036045,0.005305430871585029,22.5,0.7452181128869624,-0.963879768645704,1.6178926096994417,0.7307692307692913,4.9771046992486285,87.5,20.0,5.717524065765273,0.35099866844205907,-1.7054403895808998,-1.6607747444405951,-1.0592559795956766,-0.8406848332859144,1.4065040650397547,0.0,0.49491115830089544,-0.33787212706213937,1.9047196440489556,-0.9662615671143624,0.0,1,0,0,23469.904667216666,15.0,5.0,0.62,1.15,58
1517217,XAUUSD,SELL,20.389463619023697,44.80015918292275,-0.7331791394118872,3.5917306593524945,29.218906569332994,0.2921890656933299,20.710605435282773,31.319204629485913,0.05812973883740813,0.004979238013347862,30.0,0.7507182159856409,-0.49710374719970407,0.478465729979095,0.7754677754679559,3.6890294002136192,84.16666666666667,20.0,5.568346264473387,0.4513981358189011,-0.9811517640407433,-1.0777405570557628,-0.8649482251758105,-0.6389218415907717,0.3684210526314656,0.0,0.6612749276049479,-0.2038946322714329,1.8822620906863923,-0.902072094844628,0.0,1,0,0,23464.73989375,15.0,5.0,0.62,1.15,58
