position_id,account_id,order_id,client_id,mt5_ticket,symbol,direction,open_price,current_price,lot,sl,tp,float_profit,trail_state,open_time,snapshot_time,updated_at,status
848,1,,,353883775,XAUUSD,BUY,4079.66000,4081.33000,0.01,4080.87000,4106.29000,1.67,"{""sl_history"": [{""sl"": 4068.32, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:09:25Z"", ""reason"": ""breakeven""}, {""sl"": 4080.87, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:12:40Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T14:14:21Z""}",2026-07-14 17:10:05+00,2026-07-14 14:14:21.308944+00,2026-07-14 14:14:21.308944+00,open
849,6,,,,XAUUSD,BUY,4074.35000,4074.35000,0.01,4062.59286,4101.35000,0.00,,2026-07-14 14:19:27.692271+00,2026-07-14 14:19:27.692271+00,2026-07-14 14:19:27.692271+00,open
850,1,,,353904940,XAUUSD,BUY,4074.32000,4077.15000,0.01,4076.87000,4101.35000,2.83,"{""sl_history"": [{""sl"": 4062.59, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:19:28Z"", ""reason"": ""breakeven""}, {""sl"": 4075.53, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:21:33Z"", ""reason"": ""lock_profit""}, {""sl"": 4075.54, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:21:39Z"", ""reason"": ""lock_profit""}, {""sl"": 4076.78, ""tier"": ""tier3"", ""time"": ""2026-07-14T14:21:44Z"", ""reason"": ""trail""}, {""sl"": 4076.83, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:21:50Z"", ""reason"": ""lock_profit""}, {""sl"": 4076.84, ""tier"": ""tier3"", ""time"": ""2026-07-14T14:22:02Z"", ""reason"": ""trail""}, {""sl"": 4076.85, ""tier"": ""tier3"", ""time"": ""2026-07-14T14:22:08Z"", ""reason"": ""trail""}, {""sl"": 4076.87, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:22:19Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T14:24:49Z""}",2026-07-14 17:20:11+00,2026-07-14 14:24:49.846566+00,2026-07-14 14:24:49.846566+00,open
794,1,,,353541630,XAUUSD,SELL,4022.35000,4020.07000,0.01,4020.94000,4012.53000,2.28,"{""sl_history"": [{""sl"": 4027.94, ""tier"": ""tier1"", ""time"": ""2026-07-14T10:59:24Z"", ""reason"": ""breakeven""}, {""sl"": 4022.35, ""tier"": ""tier1"", ""time"": ""2026-07-14T11:00:07Z"", ""reason"": ""breakeven""}, {""sl"": 4021.25, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:00:14Z"", ""reason"": ""trail""}, {""sl"": 4020.94, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:00:33Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T11:00:39Z""}",2026-07-14 14:00:03+00,2026-07-14 11:00:39.534563+00,2026-07-14 11:00:39.534563+00,open
796,1,,,353545583,XAUUSD,SELL,4021.13000,4019.62000,0.01,4019.79000,4011.19000,1.51,"{""sl_history"": [{""sl"": 4026.86, ""tier"": ""tier1"", ""time"": ""2026-07-14T11:04:26Z"", ""reason"": ""breakeven""}, {""sl"": 4021.13, ""tier"": ""tier1"", ""time"": ""2026-07-14T11:06:46Z"", ""reason"": ""breakeven""}, {""sl"": 4020.18, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:06:52Z"", ""reason"": ""trail""}, {""sl"": 4020.09, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:06:57Z"", ""reason"": ""trail""}, {""sl"": 4019.8, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:07:08Z"", ""reason"": ""trail""}, {""sl"": 4019.79, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:07:14Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T11:07:25Z""}",2026-07-14 14:05:09+00,2026-07-14 11:07:25.454525+00,2026-07-14 11:07:25.454525+00,open
851,6,,,,XAUUSD,BUY,4079.80000,4079.80000,0.01,4068.02429,0.00000,0.00,,2026-07-14 14:39:22.393674+00,2026-07-14 14:39:22.393674+00,2026-07-14 14:39:22.393674+00,open
852,1,,,353949701,XAUUSD,BUY,4080.45000,4083.60000,0.01,4082.84000,0.00000,3.15,"{""sl_history"": [{""sl"": 4068.02, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:39:25Z"", ""reason"": ""breakeven""}, {""sl"": 4081.61, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:56:55Z"", ""reason"": ""lock_profit""}, {""sl"": 4081.62, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:57:07Z"", ""reason"": ""lock_profit""}, {""sl"": 4082.8, ""tier"": ""tier3"", ""time"": ""2026-07-14T14:57:31Z"", ""reason"": ""trail""}, {""sl"": 4082.81, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:57:37Z"", ""reason"": ""lock_profit""}, {""sl"": 4082.82, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:57:44Z"", ""reason"": ""lock_profit""}, {""sl"": 4082.84, ""tier"": ""tier3"", ""time"": ""2026-07-14T14:57:50Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T14:59:32Z""}",2026-07-14 17:40:06+00,2026-07-14 14:59:32.169362+00,2026-07-14 14:59:32.169362+00,open
853,6,,,,XAUUSD,BUY,4085.43000,4085.43000,0.01,4074.33179,0.00000,0.00,,2026-07-14 14:59:22.690578+00,2026-07-14 14:59:22.690578+00,2026-07-14 14:59:22.690578+00,open
800,1,,,353557798,XAUUSD,SELL,4022.30000,4028.66000,0.01,4029.23000,4010.17000,-6.36,"{""sl_history"": [{""sl"": 4029.23, ""tier"": ""tier1"", ""time"": ""2026-07-14T11:14:28Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T11:34:28Z""}",2026-07-14 14:15:09+00,2026-07-14 11:34:28.295426+00,2026-07-14 11:34:28.295426+00,open
792,1,,,353538335,XAUUSD,SELL,4020.20000,4016.33000,0.01,4016.81000,4010.45000,3.87,"{""sl_history"": [{""sl"": 4025.77, ""tier"": ""tier1"", ""time"": ""2026-07-14T10:54:22Z"", ""reason"": ""breakeven""}, {""sl"": 4020.2, ""tier"": ""tier1"", ""time"": ""2026-07-14T11:07:38Z"", ""reason"": ""breakeven""}, {""sl"": 4019.27, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:07:44Z"", ""reason"": ""trail""}, {""sl"": 4019.25, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:07:57Z"", ""reason"": ""trail""}, {""sl"": 4018.37, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:08:04Z"", ""reason"": ""trail""}, {""sl"": 4017.9, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:08:10Z"", ""reason"": ""trail""}, {""sl"": 4017.13, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:08:21Z"", ""reason"": ""trail""}, {""sl"": 4016.81, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:08:53Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T11:09:06Z""}",2026-07-14 13:55:05+00,2026-07-14 11:09:06.206984+00,2026-07-14 11:09:06.206984+00,open
